Depth,Qc,Fs,u
7.74,17.186,0.103,0.0006
7.76,17.258,0.11,0.0025
7.78,17.326,0.109,0.0037
7.8,17.139,0.11,0.0049
7.82,16.79,0.111,0.0058
7.84,16.405,0.115,0.0067
7.86,15.88,0.115,0.0071
7.88,15.679,0.115,0.0076
7.9,15.078,0.118,0.008
7.92,15.229,0.108,0.009
7.94,15.269,0.099,0.01
7.96,15.208,0.089,0.0105
7.98,14.956,0.081,0.0111
8.0,14.111,0.079,0.0113
8.02,13.722,0.075,0.0122
8.04,13.553,0.068,0.0128
8.06,13.237,0.062,0.0136
8.08,13.258,0.078,0.014
8.1,13.14,0.063,0.0164
8.12,12.881,0.052,0.0173
8.14,12.722,0.053,0.018
8.16,12.446,0.059,0.0189
8.18,12.23,0.066,0.0206
8.2,11.884,0.073,0.0214
8.22,11.795,0.078,0.0221
8.24,11.762,0.081,0.0228
8.26,11.805,0.083,0.0475
8.28,12.115,0.077,0.0488
8.3,12.726,0.079,0.0502
8.32,13.33,0.11,0.0457
8.34,14.506,0.093,0.0468
8.36,14.913,0.091,0.0477
8.38,15.305,0.121,0.0488
8.4,16.891,0.101,0.0519
8.42,18.308,0.096,0.0529
8.44,19.207,0.092,0.057
8.46,20.919,0.09,0.0579
8.48,21.48,0.079,0.0592
8.5,22.203,0.079,0.0579
8.52,22.534,0.06,0.0494
8.54,22.822,0.047,0.0342
8.56,22.768,0.039,0.0298
8.58,22.329,0.036,0.0293
8.6,21.995,0.034,0.0207
8.62,20.473,0.03,0.0175
8.64,20.48,0.034,0.0193
8.66,20.448,0.041,0.0211
8.68,20.344,0.045,0.0173
8.7,20.319,0.058,0.0153
8.72,20.326,0.062,0.0151
8.74,20.283,0.075,0.0124
8.76,20.078,0.085,0.013
8.78,19.754,0.087,0.0138
8.8,19.412,0.098,0.0168
8.82,18.999,0.106,0.0197
8.84,18.661,0.111,0.0207
8.86,18.441,0.114,0.0231
8.88,18.11,0.116,0.0248
8.9,17.805,0.121,0.0268
8.92,17.646,0.126,0.028
8.94,17.398,0.132,0.0305
8.96,17.398,0.132,0.0305
8.98,16.74,0.131,0.0324
9.0,16.441,0.132,0.0335
9.02,16.377,0.13,0.0356
9.04,16.409,0.127,0.0371
9.06,16.596,0.124,0.0385
9.08,16.69,0.122,0.0398
9.1,16.823,0.119,0.0423
9.12,16.866,0.12,0.0436
9.14,17.096,0.12,0.0442
9.16,17.114,0.122,0.0454
9.18,17.121,0.124,0.0474
9.2,17.089,0.125,0.0487
9.22,16.693,0.126,0.0493
9.24,16.521,0.128,0.0503
9.26,15.981,0.127,0.0697
9.28,16.074,0.123,0.07
9.3,16.146,0.123,0.0714
9.32,16.298,0.122,0.0712
9.34,16.359,0.121,0.0714
9.36,16.542,0.119,0.0708
9.38,16.643,0.119,0.0711
9.4,16.812,0.12,0.0711
9.42,16.927,0.122,0.0706
9.44,16.985,0.124,0.0703
9.46,16.884,0.125,0.0704
9.48,16.402,0.127,0.0702
9.5,16.121,0.128,0.0702
9.52,15.837,0.131,0.0705
9.54,15.708,0.133,0.0706
9.56,15.603,0.132,0.0711
9.58,15.575,0.132,0.0715
9.6,15.531,0.129,0.0699
9.62,15.352,0.125,0.0698
9.64,14.812,0.121,0.0697
