easting,northing,vs30,uncertainty
1572011.2371503373,5183257.514326341,179.6756,0.20000000298023224
1572950.1120399807,5183603.901945861,198.22249,0.20000000298023224
1573932.9843191023,5183259.557706421,179.88855,0.20000000298023224
1575099.2744308438,5183231.593637835,168.28813,0.20000000298023224
1576051.3946250987,5183311.581922003,197.12643,0.20000000298023224
1577035.5031844205,5183235.632623497,185.68855,0.20000000298023224
1578143.0651568624,5182889.79281413,200.6321,0.20000000298023224
1563146.8815683885,5182508.057330235,225.3846,0.20000000298023224
1565315.0862370427,5182099.772101264,196.90247,0.20000000298023224
1566241.9832921457,5182210.75702059,194.0663,0.20000000298023224
1566951.7091904203,5182382.212085507,234.88411,0.20000000298023224
1568237.2294027365,5182066.367701101,209.39555,0.20000000298023224
1569000.43162594,5182222.33118586,175.15967,0.20000000298023224
1570017.2964733667,5181985.950964778,181.90968,0.20000000298023224
1571062.883645633,5182235.884172941,192.48439,0.20000000298023224
1572072.2392422974,5182267.898665312,193.92052,0.20000000298023224
1573052.3552423392,5182263.925262928,194.36453,0.20000000298023224
1574117.9373705545,5182185.981922524,174.83815,0.20000000298023224
1575020.828871535,5182222.488890744,186.09575,0.20000000298023224
1576047.4195922331,5182247.50260057,190.12892,0.20000000298023224
1577028.0257968118,5182299.004736084,175.56184,0.20000000298023224
1578147.5764295908,5182239.552978821,194.35391,0.20000000298023224
1578442.7115338128,5182030.1432131445,206.63222,0.20000000298023224
1566237.7704901667,5181166.648257459,205.02385,0.20000000298023224
1567040.9680754805,5181096.698749149,209.74026,0.20000000298023224
1568019.0892670683,5181255.1685680775,201.10071,0.20000000298023224
1569094.9267373143,5181216.717500045,212.45985,0.20000000298023224
1570023.3189605856,5181176.261741738,178.22583,0.20000000298023224
1570998.935102765,5181326.732962422,178.19048,0.20000000298023224
1572099.0047018235,5181344.757488279,184.15288,0.20000000298023224
1573142.0951913306,5181330.791643512,166.53557,0.20000000298023224
1574013.5015562084,5181311.3224174995,193.4582,0.20000000298023224
