index,easting,northing,vs30,uncertainty,source
191,1.5727899e+06,5.1967395e+06,207.47891,0.5,cpt
192,1.5768982e+06,5.184937e+06,212.59305,0.5,cpt
193,1.5735479e+06,5.1814025e+06,171.25267,0.5,cpt
194,1.5734754e+06,5.1816135e+06,166.71053,0.5,cpt
196,1.5750222e+06,5.1859815e+06,193.09163,0.5,cpt
197,1.57546e+06,5.185855e+06,182.31691,0.5,cpt
198,1.875242e+06,5.821475e+06,114.87142,0.5,cpt
199,1.87442e+06,5.821296e+06,151.60016,0.5,cpt
200,1.5734951e+06,5.1818345e+06,172.18109,0.5,cpt
202,1.4331699e+06,5.268741e+06,238.46295,0.5,cpt
203,1.5769519e+06,5.183449e+06,193.58415,0.5,cpt
204,1.8019135e+06,5.8170075e+06,157.66602,0.5,cpt
205,1.5739131e+06,5.181845e+06,174.4426,0.5,cpt
206,1.5677242e+06,5.1870655e+06,180.42577,0.5,cpt
207,1.801593e+06,5.814768e+06,114.26937,0.5,cpt
208,1.80125e+06,5.811425e+06,144.62424,0.5,cpt
209,1.5736056e+06,5.1781255e+06,172.0731,0.5,cpt
210,1.8897449e+06,5.817857e+06,131.77428,0.5,cpt
211,1.890914e+06,5.8166705e+06,124.96364,0.5,cpt
212,1.8927126e+06,5.8132115e+06,129.6326,0.5,cpt
213,1.8915502e+06,5.814634e+06,129.79683,0.5,cpt
214,1.748639e+06,5.972113e+06,156.38382,0.5,cpt
215,1.748409e+06,5.972112e+06,126.69031,0.5,cpt
216,1.748599e+06,5.972183e+06,163.5361,0.5,cpt
217,1.5751349e+06,5.1862775e+06,183.3633,0.5,cpt
218,1.5753711e+06,5.181335e+06,215.84438,0.5,cpt
220,1.575564e+06,5.182041e+06,196.63814,0.5,cpt
221,1.5691972e+06,5.184017e+06,156.40617,0.5,cpt
222,1.5674014e+06,5.1893855e+06,248.85925,0.5,cpt
223,1.5746152e+06,5.181998e+06,197.55576,0.5,cpt
224,1.5769335e+06,5.183658e+06,198.64189,0.5,cpt
225,1.5739231e+06,5.18257e+06,158.88727,0.5,cpt
226,1.571922e+06,5.196732e+06,151.28645,0.5,cpt
227,1.881501e+06,5.772833e+06,166.53467,0.5,cpt
228,1.5655129e+06,5.1737235e+06,168.61774,0.5,cpt
229,1.574643e+06,5.181393e+06,193.02974,0.5,cpt
230,1.570953e+06,5.17846e+06,152.9274,0.5,cpt
231,1.880626e+06,5.773162e+06,181.49411,0.5,cpt
232,1.5685954e+06,5.1843105e+06,146.43185,0.5,cpt
233,1.5743176e+06,5.1826125e+06,161.54974,0.5,cpt
234,1.5792734e+06,5.1789995e+06,201.06201,0.5,cpt
235,1.5706468e+06,5.1824515e+06,147.71996,0.5,cpt
236,1.764074e+06,5.907709e+06,143.64932,0.5,cpt
237,1.885289e+06,5.774587e+06,127.02002,0.5,cpt
238,1.885086e+06,5.77473e+06,137.20476,0.5,cpt
240,1.893683e+06,5.8155665e+06,131.9027,0.5,cpt
241,1.5749358e+06,5.181346e+06,164.52676,0.5,cpt
242,1.5741832e+06,5.1828175e+06,165.59262,0.5,cpt
243,1.5655572e+06,5.1737895e+06,187.35526,0.5,cpt
244,1.87758e+06,5.822072e+06,125.03166,0.5,cpt
245,1.877297e+06,5.821768e+06,137.32758,0.5,cpt
246,1.881435e+06,5.828613e+06,174.113,0.5,cpt
247,1.8842801e+06,5.8242215e+06,141.9992,0.5,cpt
248,1.8847395e+06,5.8233545e+06,118.78065,0.5,cpt
249,1.8849409e+06,5.823561e+06,206.46713,0.5,cpt
250,1.8751072e+06,5.8209465e+06,162.61311,0.5,cpt
251,1.5768459e+06,5.1837845e+06,185.68169,0.5,cpt
252,1.5728544e+06,5.196926e+06,225.73581,0.5,cpt
253,1.5731054e+06,5.19679e+06,215.92584,0.5,cpt
254,1.5730536e+06,5.1968595e+06,185.47487,0.5,cpt
255,1.5708152e+06,5.181702e+06,169.35213,0.5,cpt
257,1.5705631e+06,5.186574e+06,176.53635,0.5,cpt
258,1.7621639e+06,5.4314355e+06,121.61937,0.5,cpt
259,1.5684514e+06,5.180921e+06,152.4409,0.5,cpt
260,1.570458e+06,5.186895e+06,208.35677,0.5,cpt
261,1.570456e+06,5.1868805e+06,203.96066,0.5,cpt
262,1.5702896e+06,5.18685e+06,210.6511,0.5,cpt
263,1.5703802e+06,5.1868355e+06,169.08159,0.5,cpt
264,1.5705186e+06,5.186848e+06,187.80406,0.5,cpt
265,1.5703314e+06,5.1867455e+06,160.30232,0.5,cpt
266,1.7974439e+06,5.8172695e+06,181.60243,0.5,cpt
267,1.7970822e+06,5.8176875e+06,150.31076,0.5,cpt
268,1.7980778e+06,5.8141345e+06,128.73601,0.5,cpt
269,1.5713014e+06,5.18024e+06,154.77203,0.5,cpt
270,1.5685921e+06,5.1839485e+06,138.42464,0.5,cpt
271,1.8794185e+06,5.824066e+06,151.37706,0.5,cpt
272,1.8793472e+06,5.8240775e+06,150.15497,0.5,cpt
273,1.5734041e+06,5.181505e+06,155.87157,0.5,cpt
274,1.879401e+06,5.824131e+06,152.60155,0.5,cpt
275,1.6232541e+06,5.431869e+06,157.47243,0.5,cpt
276,1.6231689e+06,5.4318795e+06,140.61728,0.5,cpt
277,1.5708182e+06,5.176917e+06,144.69467,0.5,cpt
278,1.56405e+06,5.171271e+06,183.82697,0.5,cpt
279,1.5751011e+06,5.182406e+06,189.98045,0.5,cpt
280,1.6232402e+06,5.431983e+06,152.1691,0.5,cpt
281,1.79623e+06,5.820169e+06,151.44737,0.5,cpt
282,1.79588e+06,5.818812e+06,145.22803,0.5,cpt
283,1.796419e+06,5.817611e+06,154.21898,0.5,cpt
