"","index","easting","northing","slp09c","slp30c"
"424",31804,2566146.19852422,5866420.28193793,0.0563756144239892,NA
"425",33450,2343277.08331565,5830149.87350011,0.0108435959015267,0.00579256059728339
"426",37787,2476316.65374002,5742906.99443927,0.00336862726551524,0.00339346804623719
"427",37787,2472659.11756284,5746398.7852841,0.00201285917589475,0.00416370883406445
"428",20318,2732096.90639012,6091233.26257015,0.00273376486762642,0.00276252342235423
"429",18278,2685452.77525346,6139282.82986255,0.00410732999789116,0.0246271176459693
"430",20384,2732105.1254962,6087789.41185301,0.0298677497298315,0.013505444748663
"431",24206,2670390.88893829,5995572.91253568,0.012436463605109,0.065909698952437
"432",22898,2673881.15296509,5998272.7810856,0.0711889678714304,0.0768503164560956
"433",24241,2669432.21212784,5994294.16597981,0.00507489793535317,NA
"434",22898,2673917.97757832,5998794.05465168,0.0180136392888888,0.0768503164560956
"435",22898,2669572.77027433,5997668.0340471,0.007482589750913,0.0281185087245376
"436",52660,2196438.540326,5448856.76860027,0.00600589954346708,0.0109657005261594
"437",35390,2393059.46191218,5805557.92133961,0.131598537254968,0.0700268500775162
"438",46186,2350147.018282,5565542.54505399,0.0257565444895524,0.0272077180438717
"439",24114,2666914.7077844,5996148.08116429,NA,NA
"440",22898,2671705.46101873,6000042.89578518,0.0956227144819483,0.0758926984680502
"441",22898,2665925.64466445,5996454.17288207,NA,0.0821931755826908
"442",22898,2670014.43037577,5995614.47157577,0.00723027343445287,0.0139327753353446
"443",23377,2672728.21171205,5998109.62714141,0.0877838039558932,0.0234311644225048
"444",23377,2670921.23261072,5995283.56976665,0.197581094358239,0.0823039300287785
"445",24114,2667548.65087223,5996378.85348592,0.00892296499271187,0.0438207356444045
"446",24206,2670481.25375604,5995104.38077551,0.0218835720201212,0.0823039300287785
"447",24206,2670674.65613272,5995511.1511441,0.0474554315425648,0.065909698952437
"448",24206,2670690.78829509,5995099.78651147,0.117116859305283,0.0823039300287785
"449",24206,2670760.03263981,5995198.24250545,0.0709220781494721,0.0823039300287785
"450",20771,2676114.39807191,6004276.62060175,0.19654462313172,0.0669384518261257
"451",24114,2667830.63191512,5996971.51588269,0.0238678432750223,0.0438207356444045
"452",24223,2673234.30202423,5992588.54449287,0.00452707114364067,0.0192107410447885
"453",24223,2673219.52523719,5992677.7429376,0.00452707114364067,0.0400563020399859
"454",24261,2658906.04010927,5989561.67367561,0.0596086985729933,0.0391857145923496
"455",24261,2658819.6442114,5989515.66774994,0.0596086985729933,0.0391857145923496
"456",24607,2658550.81722376,5990635.26654514,0.106632267314389,0.0680991726276535
"457",22898,2671276.09061036,5998452.7596154,0.00622284443040104,0.00553911252949786
"458",23453,2665343.32772197,6005901.03348634,0.0373569707212712,0.0306296842688263
"459",23380,2664317.47019434,6007033.45050407,0.0147508434047618,0.0301743752301264
"460",23453,2665300.65473609,6005868.6134058,0.0373569707212712,0.0306296842688263
"461",23268,2664378.79080977,6006754.46817109,0.0105075474473737,0.0310240115639716
"462",13370,2938309.64787651,6274504.30743349,0.00158057958197908,0.00336986891882855
"463",22898,2669655.21627812,5995677.85203206,0.00262257511266663,0.0139327753353446
"464",9699,2860249.02886723,6352430.13186093,0.00643591207770787,0.0408939315222931
"465",NA,2664414.8485268,6007374.63041792,NA,0.0301743752301264
"466",24261,2658978.47840542,5989004.79580065,0.0148382985387613,0.0391857145923496
