CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing, NZTM Easting, NZTM Northing, Vs30
9114,-43.519616,172.711073,2486652.26,5743051.69,1576649.46,5181439.53,194.770418
9179,-43.55065,172.697277,2485549.26,5739599.82,1575547,5177989,182.549612
9307,-43.510732,172.713869,2486874.9,5744039.49,1576871.99,5182426.94,203.004762
9335,-43.55406,172.6951,2485374.78,5739220.27,1575372.6,5177609.6,179.124812
9340,-43.553952,172.695159,2485379.48,5739232.38,1575377.3,5177621.7,173.698415
9344,-43.55389,172.695034,2485369.38,5739239.18,1575367.2,5177628.5,178.943627
9346,-43.554018,172.694901,2485358.67,5739224.87,1575356.5,5177614.2,172.846455
9400,-43.512567,172.709218,2486499.56,5743834.38,1576496.8,5182221.9,191.38916
9402,-43.512629,172.709256,2486502.66,5743827.47,1576499.9,5182215,186.432607
9499,-43.549855,172.697423,2485560.78,5739688.16,1575558.51,5178077.31,184.462698
9972,-43.509921,172.712751,2486784.2,5744129.28,1576781.32,5182516.69,191.7864
9976,-43.511022,172.70996,2486558.99,5744006.23,1576556.2,5182393.68,196.989489
9992,-43.51118,172.711029,2486645.49,5743988.94,1576642.67,5182376.4,187.162826
9993,-43.512402,172.712594,2486772.46,5743853.64,1576769.59,5182241.16,192.487315
10032,-43.551414,172.696629,2485497.24,5739514.79,1575495,5177904,186.957594
10775,-43.490373,172.692915,2485172.28,5746295.48,1575170,5184682,192.521349
11229,-43.509632,172.714778,2486948.05,5744162,1576945.1,5182549.4,187.507556
11476,-43.496612,172.692686,2485156.26,5745602.2,1575154,5183989,185.837661
11477,-43.496702,172.692685,2485156.26,5745592.2,1575154,5183979,180.143196
11643,-43.509186,172.709693,2486536.64,5744210.18,1576533.86,5182597.55,203.644605
11721,-43.560632,172.67957,2484122.65,5738485.42,1574121,5176875,191.427007
11727,-43.560482,172.680351,2484185.68,5738502.43,1574184,5176892,203.816479
11853,-43.56108,172.678738,2484055.62,5738435.4,1574054,5176825,192.378167
12196,-43.554067,172.696165,2485460.79,5739219.84,1575458.58,5177609.17,184.507565
12273,-43.5564,172.7025,2485973.62,5738962.48,1575971.21,5177351.93,193.221246
12274,-43.5565,172.7029,2486005.98,5738951.48,1576003.55,5177340.94,198.123197
12275,-43.556,172.703,2486013.86,5739007.06,1576011.43,5177396.5,193.020437
12276,-43.5561,172.7025,2485973.5,5738995.81,1575971.09,5177385.25,199.044873
12277,-43.5572,172.7027,2485990.09,5738873.65,1575987.68,5177263.14,198.323524
12291,-43.557456,172.705356,2486204.8,5738845.99,1576202.3,5177235.5,178.87311
12292,-43.557722,172.705381,2486206.9,5738816.38,1576204.4,5177205.9,179.616963
12294,-43.557836,172.705183,2486191,5738803.68,1576188.5,5177193.2,175.573944
12295,-43.557759,172.704853,2486164.29,5738812.18,1576161.8,5177201.7,176.949476
12296,-43.557661,172.704875,2486165.99,5738823.09,1576163.5,5177212.6,182.170686
12298,-43.557583,172.70452,2486137.27,5738831.59,1576134.8,5177221.1,175.980692
12299,-43.557378,172.704422,2486129.27,5738854.4,1576126.8,5177243.9,178.81514
12300,-43.557708,172.704492,2486135.07,5738817.68,1576132.6,5177207.2,178.479922
