NZTM_X NZTM_Y Vs30
1572087.0 5178997.0 197.92125807680898
1570386.0 5179386.0 134.20624882648576
1571412.03 5190843.27 156.96133277368716
1748943.0797889894 5425240.43262851 214.9327739230478
1571425.32 5190641.52 139.09146410780676
1575391.0 5204048.0 218.71747500820607
1571415.8 5190455.28 161.95894833399146
1560455.0 5166055.0 191.29597278219188
1567802.48 5180204.028 174.67514939769424
1569691.0 5183410.0 132.30732891419373
1560126.2774552968 5164588.988727856 
1572513.0 5184466.0 223.5110349349669
1571080.36 5188762.92 183.00028427833615
1570067.06 5185432.03 151.2796148078122
1570016.64 5185226.92 142.2708300511065
1570037.49 5184863.5 146.7804560905496
1571407.360866774 5191003.423069022 173.1239263422736
1570953.0 5179053.0 155.98887630855674
1572693.8315895982 5181313.384508195 169.83822808214964
1570494.6487053998 5187721.4707185915 139.78370300671168
1753475.700222886 5914502.575498214 191.77466706831854
1567888.8 5176997.3 
1772825.95 5882615.48 176.05050286971093
1753923.76 5968021.42 144.41501568302624
1772919.05 5882556.07 144.49089580961297
1751861.3856942332 5917762.699575658 235.98339463303145
1752558.143107811 5918001.626130553 137.1114678515973
1752491.2272229241 5918057.7472792715 159.66671804393022
1752859.583840349 5918113.279740166 171.12353201283605
1570920.72 5181867.24 185.99429033654056
1573849.0 5180314.0 187.42177362065078
1572321.55 5181678.8 196.15126238137253
1574587.8526230392 5178464.439291776 
1575419.38703982 5181550.563826163 203.51467912644236
1568145.118553658 5180158.5430785315 167.0922849291435
1753229.685477732 5443259.454470901 223.00486527288837
1576616.215538126 5184400.954670223 186.29459029285752
1574101.744865614 5177571.875369607 182.80302825029062
1568988.49712276 5176619.960057107 157.03711574279703
1572498.0757613932 5178656.785123817 166.1765890704413
1574402.365 5182076.209 188.43457692908365
1573054.509 5182106.517 202.05942055769444
1710159.9375061782 5616968.165833023 168.15893287818545
1407991.007031511 4917831.910324662 150.70312908883537
1568357.1062672618 5175512.769600435 148.8831084363532
1892542.346 5808930.199 154.40564317768448
1570906.9892692082 5179439.838896234 194.78445539461185
1893092.447 5809037.041 190.05868267498394
1892465.121 5809067.147000001 146.65336808529582
1571282.879364769 5179641.476239644 163.40568157655485
1571252.504521919 5179659.116123773 169.88701059851803
1577162.91 5172306.68 194.3966072073232
1572662.816812997 5180361.015985653 178.07289296114834
1624082.96 5431085.66 213.67746729100747
1623913.447690135 5430952.197239932 193.07715497765705
1573776.0 5182030.0 192.16305156288232
1571250.02 5177896.46 191.97974999501665
1570781.157898621 5180544.125639435 115.06884298478161
1575943.872570905 5182172.088131061 229.47527700049758
1764435.864 5461560.276000001 234.26659517362538
1764593.467 5461827.58 187.12052672921317
1569017.48 5181087.87 197.7699331337963
1575830.68 5182830.13 205.13936611035885
1748256.5 5427393.0 175.39231364278967
1576519.771998826 5184953.469038181 190.06888560583187
1572229.764 5196458.13 201.4183584830838
1572237.921416386 5196545.815723911 201.79899998664692
1567968.064069585 5183419.671020123 169.52330115632805
1934159.507745561 5620836.688608178 180.2727255229532
1574407.7353413382 5204589.890650751 193.39546110763735
1931729.621503336 5782577.706128363 179.83744367192554
1879057.6190671169 5825191.405888546 113.61322562558593
1879228.893197055 5825411.1255121585 123.07591211375718
1880229.4416690941 5825518.481493986 161.69203974604756
1573157.0 5186527.0 198.35381106127224
1576518.0 5174760.0 152.51575279433237
1575259.44994674 5181180.034373915 
1569509.1729990968 5175284.967989514 182.55329287229176
1573806.6802303342 5200034.172743743 192.72704121228912
1571428.22 5177830.54 22.952834138607447
1572150.21 5177063.57 161.3650208129143
1572868.4000900732 5181414.6897617765 158.34600735420838
1750457.0 5721217.0 137.7334850728692
1738722.0 5701995.0 174.75556069990407
1744264.0 5718921.0 131.86200701121862
1788151.356 5760199.458 94.91625920918649
1843424.9730000002 5805054.826 169.30182488198488
1572284.7 5181390.5 170.55167919043785
1791495.0 5814687.0 128.48009515192595
1788562.0 5813717.0 147.0652608313635
1572300.6 5181385.3 170.21868808274638
1792856.0 5814730.0 159.9557679410398
1576684.0 5185895.0 185.75824722645513
1573679.6068995732 5202893.118920999 211.21946325609676
1572789.885982525 5196739.659636921 207.47891499760425
1576898.257091249 5184937.1539562 212.59305062314115
1573547.912722334 5181402.252806786 171.25267000699378
1573475.3855735818 5181613.708121835 166.71052581506055
1574785.842261025 5186159.480392758 
1575022.212382304 5185981.72318926 193.09162386458823
1575460.0 5185855.0 182.31690480741264
1875242.0 5821475.0 114.87142155258655
1874420.0 5821296.0 151.600155587697
1573495.1018763932 5181834.56223015 172.1810857597255
1565529.857707638 5173855.382570455 
1433169.88 5268740.88 238.46295842712328
1576951.8200273009 5183448.942100632 193.5841483159325
1801913.475283826 5817007.280200687 157.66600901050825
1573913.086692117 5181844.988719832 174.44259433343103
1567724.3 5187065.4 180.42576717371415
1801593.0 5814768.0 114.26937147880473
1801250.0 5811425.0 144.62422968850026
1573605.587017816 5178125.4121819865 172.0731068544321
1889744.852239071 5817857.19502218 131.7742780770512
1890914.018161908 5816670.340106662 124.9636399438748
1892712.624691274 5813211.326720713 129.63260640180462
1891550.208203566 5814633.994379902 129.79682530256096
1748639.0 5972113.0 156.38382360465906
1748409.0 5972112.0 126.69030428919808
1748599.0 5972183.0 163.53610577976522
1575134.923428955 5186277.419484871 183.36330289921784
1575371.12 5181334.9 215.84437476782074
1565582.0 5173742.0 
1575564.027140815 5182040.801212834 196.63814140236443
1569197.31 5184016.92 156.40616820705011
1567401.42 5189385.45 248.85925277530788
1574615.1940334481 5181997.86190638 197.55575934768544
1576933.455459382 5183657.960965841 198.64189183993864
1573923.0643562018 5182569.955028151 158.88726183401405
1571921.993017494 5196732.086559181 151.2864490605246
1881501.0 5772833.0 166.53466193490914
1565512.8449573368 5173723.644889497 168.61773502428449
1574643.05950852 5181392.784837686 193.02973912726858
1570953.0 5178460.0 152.9274026652973
1880626.0 5773162.0 181.4941028126953
1568595.403233459 5184310.390662509 146.4318557834793
1574317.597637256 5182612.7474265685 161.5497414221989
1579273.323965645 5178999.745265142 201.0620076726052
1570646.798244541 5182451.518115968 147.71995249565293
