"x","y","longitude","latitude","Vs30","lnMeasUncer","QualityFlag","StationID","Source","Vs30_AhdiAK_noQ3_hyb09c","stDv_AhdiAK_noQ3_hyb09c","Vs30_YongCA_noQ3","stDv_YongCA_noQ3"
1469228.9430728,5290818.37263165,171.407865584124,-42.5239584719989,333,0.5,"Q3","ARPS","KaiserEtAl",487.199921507711,0.243194395377149,241.80869962047,0.307482445914323
1567213.24161839,5208632.41234449,172.59594717711,-43.2744104144033,270,0.5,"Q3","ASHS","KaiserEtAl",288.966175595035,0.243194395377149,202.125866002814,0.206820130727133
1390441.55763523,5051950.70839662,170.356960606065,-44.655220628426,1000,0.5,"Q3","AVIS","KaiserEtAl",NA,NA,NA,NA
1347121.50647725,4873046.84660725,169.719372684003,-46.249063655198,1000,0.5,"Q3","BDCS","KaiserEtAl",455,0.545,266.870166096091,0.4
1377086.97180972,5061763.37601288,170.192978969066,-44.5629676524941,1000,0.5,"Q3","BENS","KaiserEtAl",418,0.137013550946091,NA,NA
1874354.07878296,5491735.09964932,176.246245098091,-40.679647287504,1000,0.5,"Q3","BFZ","KaiserEtAl",455,0.545,323.504047697085,0.407430975749267
1901757.14610868,5659026.555804,176.49254373607,-39.1656656488322,1000,0.5,"Q3","BKZ","KaiserEtAl",455,0.545,519,0.5
1761516.7448605,5438210.25284205,174.926030000111,-41.1913720040652,900,0.5,"Q3","BMTS","KaiserEtAl",455,0.545,323.504047697085,0.407430975749267
1610744.29329969,5418024.61944775,173.12851282213,-41.3892359899068,210,0.5,"Q3","BTWS","KaiserEtAl",246.260290323338,0.243194395377149,241.80869962047,0.307482445914323
1574298.04418423,5185784.63580673,172.682183700107,-43.4804150022475,210,0.5,"Q3","BWHS","KaiserEtAl",198.410502321195,0.217057738584898,202.125866002814,0.206820130727133
1675614.25674833,5412052.2165874,173.905117890122,-41.4395440438595,760,0.5,"Q3","BWRS","KaiserEtAl",690.974348966211,0.446036993981441,535.786417756242,0.380788655293195
1561993.83037701,5185419.8351402,172.530015293106,-43.4831755872469,435,0.1,"Q1","CACS","KaiserEtAl",383.158888497168,0.202629769603115,202.125866002814,0.206820130727133
1569284.02632045,5180329.21321669,172.619876237106,-43.5293470122116,197,0.1,"Q1","CBGS","KaiserEtAl",197,0.202629769603115,198.64481157494,0.205256370217328
1571514.38575047,5179368.58629431,172.647427000106,-43.5380850022048,182,0.1,"Q1","CCCC","KaiserEtAl",197,0.202629769603115,198.64481157494,0.205256370217328
1570291.48238335,5180012.76316574,172.632326386106,-43.5322371192093,210,0.5,"Q3","CCPS","KaiserEtAl",197,0.202629769603115,202.125866002814,0.206820130727133
1622471.70310883,5259859.78962095,173.274868178115,-42.8134905497516,270,0.5,"Q3","CECS","KaiserEtAl",240,0.243194395377149,198.64481157494,0.205256370217328
1569905.19809131,5179601.02028204,172.627523000106,-43.5359290022066,196,0.1,"Q1","CHHC","KaiserEtAl",197,0.202629769603115,216.62368022053,0.254950975679639
1569649.68327899,5176302.57335049,172.624176115106,-43.5656179591846,213,0.1,"Q1","CMHS","KaiserEtAl",197,0.202629769603115,198.64481157494,0.205256370217328
1871322.70219937,5467485.17525769,176.220963947093,-40.8987621293158,350,0.5,"Q3","CPFS","KaiserEtAl",240,0.243194395377149,NA,NA
1569577.55556263,5175288.22652006,172.623226057105,-43.5747481931778,900,0.2,"Q2","CRLZ","KaiserEtAl",472.749388885179,0.354562104171167,535.786417756242,0.380788655293195
1119289.32625767,4966179.51574101,166.869340864996,-45.2930674500456,1500,0.5,"Q3","CSBF","KaiserEtAl",690.974348966211,0.446036993981441,323.504047697085,0.407430975749267
1496341.63602721,5213238.40458908,171.723556103109,-43.2265268754492,270,0.5,"Q3","CSHS","KaiserEtAl",500,0.243194395377149,284.470950299338,0.360555127546399
1549829.64425451,5204319.08074374,172.381334202108,-43.3122908173768,425,0.5,"Q3","CSTC","KaiserEtAl",399,0.5,202.125866002814,0.206820130727133
1748562.88511179,5426924.50268635,174.774381000113,-41.2954630039776,250,0.5,"Q3","CUBS","KaiserEtAl",240,0.243194395377149,317.368444092771,0.33166247903554
1583847.81361812,5265879.75140359,172.802602336116,-42.7594379977976,270,0.5,"Q3","CULC","KaiserEtAl",500,0.243194395377149,202.125866002814,0.206820130727133
1441177.29771274,5083633.47187661,171.006160000079,-44.3831800016093,1000,0.5,"Q3","CVZ","KaiserEtAl",690.974348966211,0.446036993981441,535.786417756242,0.380788655293195
1573792.88813666,5181688.46914399,172.675740000106,-43.5172800022201,210,0.5,"Q3","D07C","KaiserEtAl",197,0.202629769603115,198.64481157494,0.205256370217328
1569722.6566385,5168871.04920083,172.624664000105,-43.6325340021349,1000,0.5,"Q3","D14C","KaiserEtAl",690.974348966211,0.446036993981441,514.970575501527,0.380788655293195
